Date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,
Canada,2.2,1.7,1.2,2.3,1.9,1.4,0.8,0.1,-2.9,-3.6,-2.7,-3.5,-3.1,-2.3,-3.5,-3.1,-2.8,-2.4,-2
Iceland,-4.3,1.2,-4.9,-10,-15.7,-22.7,-13.6,-20.8,-8.9,-6.1,-4.7,-3.6,6.3,4.4,5.6,8.1,4.2,4.3,6.5
Korea,0.4,0.6,1.6,3.7,1.3,0.2,0.9,0.2,3.5,2.4,1.3,3.8,5.6,5.6,7.2,6.5,4.6,4.5,3.6
Norway,15.8,12.4,12.2,12.6,16.4,16.6,12.6,16.1,11.3,11.6,13.2,13.5,11.2,11.8,9,5.2,6.3,9,3.8
Russia,9.8,7.4,7.2,9.2,10.3,8.7,5.2,5.8,3.9,4.1,4.8,3.3,1.5,2.8,5,1.9,2,7,3.9
UK,-1.8,-2,-1.9,-2.4,-2,-3.2,-3.8,-4,-3.2,-2.9,-1.8,-3.3,-4.8,-5.2,-5.1,-5.5,-3.6,-4.1,-2.8
US,-3.7,-4.2,-4.6,-5.2,-5.7,-5.9,-5.1,-4.7,-2.6,-2.9,-2.9,-2.6,-2,-2.1,-2.2,-2.1,-1.9,-2.1,-2.1
Australia,-2.1,-4.04,-6.27,-6.72,-6.23,-6.18,-7.56,-4.87,-5.22,-3.99,-3.25,-4.42,-3.23,-3.05,-4.22,-3.42,-2.7,-2.21,0.37
Hungary,-6.12,-6.45,-8.25,-9.07,-9.88,-7.28,-7.28,-7.03,-0.68,0.26,0.62,1.54,3.44,1.14,2.34,4.55,1.93,0.26,-0.78
Switzerland,1.575662,-0.07322,-0.0324,2.701709,2.749699,4.073628,3.916376,2.807984,-2.29737,3.243397,1.813108,1.179254,1.792144,2.349881,1.644628,2.06869,1.3628,2.860446,1.141982
