Australia,Canada,Switzerland,UK,Hungary,US,Iceland,Norway,Russia,Korea,Year
19695.72974,23822.06012,39638.79111,27906.5695,5276.033189,37133.62311,28897.44394,38601.89764,2100.352539,11561.21,2001
20301.84317,24255.33858,42458.73847,30077.74143,6655.333009,37997.75966,32409.21615,43170.55717,2377.529541,13165.08,2002
23718.13385,28300.4631,49335.74563,34442.68754,8419.430871,39490.27496,39476.69785,50250.32982,2975.123047,14672.81,2003
30836.73068,32143.68141,54659.45715,40366.88867,10301.70339,41724.63163,47334.93065,57768.6981,4102.364746,16496.13,2004
34479.76793,36382.50792,56242.89336,42104.78844,11223.3993,44123.40707,56794.85016,67047.17046,5323.455078,19402.5,2005
36595.70715,40504.06073,59011.03246,44512.45903,11489.56087,46302.00088,57492.93425,74434.49968,6920.199707,21743.48,2006
41051.61207,44659.89514,64989.15533,50397.6855,13940.90928,48050.22378,69495.72674,85502.26771,9101.239258,24086.41,2007
49701.28178,46710.50558,74175.19279,47396.12021,15772.33008,48570.04598,56943.37045,97503.54078,11635.28418,21350.43,2008
42816.5674,40876.31015,71568.31239,38744.13169,13077.30547,47194.94335,41301.27322,80347.57007,8562.824219,19143.85,2009
52147.02419,47562.08343,76531.37294,39598.95712,13217.5046,48650.64313,43237.07295,88163.20859,10674.99023,23079.26,2010
62609.66072,52223.69611,90476.75897,42109.64188,14234.47158,50065.9665,47714.59223,101221.8135,14311.06445,25097.6,2011
68078.04423,52669.08996,85836.20768,42497.3405,12984.83657,51784.41857,45995.54788,102175.9193,15420.85938,25459.17,2012
68198.41934,52635.17496,87304.33058,43426.29814,13715.07036,53291.12769,49804.983,103553.8401,15974.62207,27179.52,2013
62558.24388,50955.99832,88724.99094,47439.61659,14294.25842,55123.84979,54576.74481,97666.69518,14095.64648,29252.93,2014
56758.8692,43596.13554,83806.4476,44964.39114,12717.0386,56762.72945,52951.68151,74809.9658,9313.021484,28737.44,2015
49918.79393,42315.60371,82153.07454,40985.23514,13104.69955,57866.74493,61987.92636,70867.361,8704.894531,29280.44,2016
53954.55349,45129.4293,82254.37693,40572.12148,14621.2396,59907.75426,72010.14903,76131.8384,10720.33203,31600.74,2017
57273.52048,46548.63841,85217.36915,43203.81411,16425.20503,62823.30944,74452.18907,82792.84271,11287.35449,33447.16,2018
55049.57192,46374.15275,84121.93103,42662.53537,16786.21364,65120.39466,68452.23622,76430.58895,11536.25879,31902.42,2019
