,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4
Australia,5.5,5,4.75,4.25,4.25,4.75,4.75,4.75,4.75,4.75,4.75,5.25,5.25,5.25,5.25,5.25,5.5,5.5,5.5,5.5,5.5,5.75,6,6.25,6.25,6.25,6.5,6.75,7.25,7.25,7,4.25,3.25,3,3,3.75,4,4.5,4.5,4.75,4.75,4.75,4.75,4.25,4.25,3.5,3.5,3,3,2.75,2.5,2.5,2.5,2.5,2.5,2.5,2.25,2,2,2,2,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1,0.75
Canada,5,4.5,3.5,2.25,2,2.5,2.75,2.75,3,3.25,2.75,2.75,2.25,2,2.25,2.5,2.5,2.5,2.75,3.25,3.75,4.25,4.25,4.25,4.25,4.25,4.5,4.25,3.5,3,3,1.5,0.5,0.25,0.25,0.25,0.25,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1.25,1.25,1.5,1.75,1.75,1.75,1.75,1.75
Hungary,11,11,11,9.75,8.5,9,9.5,8.5,6.5,9.5,9.5,12.5,12.25,11.5,11,9.5,7.75,7,6,6,6,6.25,7.75,8,8,7.75,7.5,7.5,7.5,8.5,8.5,10,9.5,9.5,7.5,6.25,5.5,5.25,5.25,5.75,6,6,6,7,7,7,6.5,5.75,5,4.25,3.6,3,2.6,2.3,2.1,2.1,1.95,1.5,1.35,1.35,1.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Iceland,,,,,9.15,8.15,6.85,5.63,5.16,5.16,5.16,5.16,5.16,5.59,6.53,7.92,8.61,9.07,9.75,9.97,10.87,11.54,13.09,13.3,13.3,13.3,13.3,13.75,15,15.5,15.5,18,17,9.5,9.5,9.13,8.13,7.13,5.38,3.88,3.63,3.63,3.88,4.13,4.38,5.13,5.13,5.38,5.38,5.38,5.38,5.38,5.38,5.25,5.25,4.5,4.5,5,5.5,5.75,5.75,5.75,5.25,5,5,4.5,4.5,4.25,4.25,4.25,4.25,4.5,4.5,3.75,3.5,3
Norway,9,9,9,6.5,6.5,6.5,7,6.5,5.5,4,2.5,2.25,1.75,1.75,1.75,1.75,1.75,1.75,2,2.25,2.5,2.75,3,3.5,4,4.5,5,5.25,5.25,5.75,5.75,3,2,1.25,1.25,1.75,1.75,2,2,2,2,2.25,2.25,1.75,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,1,1.25,1.5,1.5
Russia,,,,,25,23,21,21,18,16,16,16,14,13,13,13,13,13,13,12,12,11.5,11.5,11,10.5,10,10,10,10.25,10.75,11,13,13,11.5,10,8.75,8.25,7.75,7.75,7.75,8,8.25,8.25,8,8,8.25,8.25,8.25,8.25,8.25,5.5,5.5,7,7.5,8,17,14,11.5,11,11,11,10.5,10,10,9.75,9,8.5,7.75,7.25,7.25,7.5,7.75,7.75,7.5,7,6.25
Switzerland,3.75,3.75,2.75,2.25,2.25,1.75,1.25,1.25,0.75,0.75,0.75,0.75,0.75,1,1.25,1.25,1.25,1.25,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.25,3.25,3.25,3.25,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.75,-0.75,-0.75
UK,5.75,5.25,4.75,4,4,4,4,4,3.75,3.75,3.5,3.75,4,4.5,4.75,4.75,4.75,4.75,4.5,4.5,4.5,4.5,4.75,5,5.25,5.5,5.75,5.5,5.25,5,5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,5.31,3.97,3.27,1.75,1.75,1.75,1.75,1.25,1.25,1,1,1,1,1.25,1.75,2.25,2.75,3.25,3.75,4.25,4.75,5.25,5.25,5.25,5.25,5.25,4.75,4.25,2.25,2,2,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.38,0.38,0.38,0.38,0.63,0.88,1.13,1.13,1.38,1.63,1.88,2.13,2.38,2.38,2.38,1.88,1.63
Korea,5,5,4,4,4,4.25,4.25,4.25,4.25,4,3.75,3.75,3.75,3.75,3.5,3.25,3.25,3.25,3.25,3.75,4,4.25,4.5,4.5,4.5,4.5,5,5,5,5,5.25,3,2,2,2,2,2,2,2.5,3,3.25,3.25,3.25,3.25,3.25,3,2.75,2.75,2.5,2.5,2.5,2.5,2.5,2.25,1.75,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.75,1.75,1.75,1.25,0.75,0.5,0.5,0.5
