Australia,Canada,Switzerland,UK,Hungary,US,Russia,Iceland,Norway,Korea,Year
6.75,7.22,2.49,4.7,5.67,4.73,8.98,1.87,3.74,3.7,2001
6.38,7.66,2.92,5.04,5.61,5.78,7.88,2.99,4.02,3.05,2002
5.93,7.57,4.12,4.81,5.79,5.99,8.21,4,4.22,3.35,2003
5.4,7.19,4.32,4.59,5.83,5.53,7.76,4.03,4.26,3.42,2004
5.04,6.76,4.44,4.75,7.19,5.08,7.12,2.55,4.38,3.48,2005
4.79,6.48,3.99,5.35,7.49,4.62,7.06,2.83,3.4,3.25,2006
4.38,6.16,3.64,5.26,7.41,4.62,6,2.25,2.49,3.01,2007
4.24,6.28,3.35,5.62,7.82,5.78,6.21,2.95,2.55,2.96,2008
5.57,8.46,4.11,7.54,10.03,9.25,8.3,7.22,3.1,3.36,2009
5.21,8.18,4.81,7.79,11.17,9.63,7.37,7.56,3.52,3.32,2010
5.08,7.64,4.41,8.04,11.03,8.95,6.54,7.03,3.21,2.99,2011
5.23,7.39,4.49,7.88,11,8.07,5.44,6,3.12,2.81,2012
5.66,7.14,4.75,7.52,10.18,7.37,5.46,5.38,3.42,2.75,2013
6.08,7.02,4.83,6.11,7.73,6.17,5.16,4.9,3.48,3.08,2014
6.06,6.95,4.8,5.3,6.81,5.28,5.57,3.98,4.3,3.55,2015
5.71,7.04,4.92,4.81,5.11,4.87,5.56,2.98,4.68,3.65,2016
5.59,6.43,4.8,4.33,4.16,4.36,5.21,2.74,4.16,3.65,2017
5.3,5.84,4.71,4,3.71,3.9,4.85,2.7,3.8,3.82,2018
5.16,5.69,4.39,3.74,3.42,3.67,4.5,3.51,3.69,3.75,2019
