Gambia,Brazil,Colombia,Senegal,Turkey,Vietnam,Malaysia,South Africa,Mexico,Year
9.417,10.65,15.04,5.366,8.37,2.76,3.53,19.887,2.63,2001
9.936,10.64,14.48,5.65,10.35,2.12,3.48,19.781,3,2002
9.877,11.17,13.22,6.709,10.55,2.25,3.61,19.882,3.46,2003
9.821,10.07,13.72,7.83,10.83,2.14,3.54,19.732,3.94,2004
9.786,10.55,11.06,8.659,10.63,2.075,3.53,19.608,3.56,2005
10.208,9.69,11.089,10.03,8.72,2.045,3.32,19.401,3.57,2006
10.454,9.28,11.2,10.184,8.87,2.03,3.23,19.342,3.63,2007
9.975,8.27,11.27,10.237,9.71,1.893,3.32,19.51,3.87,2008
9.6,9.42,12.07,10.201,12.55,1.74,3.66,20.51,5.36,2009
9.464,8.426,11.15,10.153,10.66,1.11,3.39,23.18,5.3,2010
10.255,7.58,10.29,10.36,8.8,1,3.05,21.42,5.17,2011
10.35,7.25,9.96,9.471,8.15,1.03,3.1,21.79,4.89,2012
9.526,7.07,9.25,8.764,8.73,1.32,3.16,22.04,4.91,2013
8.202,6.76,8.8,7.653,9.88,1.26,2.88,22.61,4.81,2014
7.278,8.54,8.57,6.76,10.24,1.85,3.1,22.87,4.31,2015
6.331,11.58,8.92,4.46,10.84,1.85,3.44,24.02,3.85,2016
5.16,12.79,9.09,4.08,10.82,1.87,3.41,23.99,3.42,2017
4.13,12.33,9.36,3.57,10.89,1.16,3.3,24.22,3.27,2018
4.037,11.94,10.28,2.86,13.67,1.68,3.26,25.54,3.48,2019
